TIME;;;;;;;FILES;;PLANT ID;;;;;;VISITORS (1);;;;;;;;;;;;;;VISITOR BEHAVIOUR (1);;;;;;;;;;;;;;;;;;;CONTACT (1);;;
Year;Month;Day;Hour;Min;Sec;##;Video file name;Video record present;Plant Genus;Plant Species;Plant Number;Number of observed flowers (M | F);;Multiplier;Visitor arrival;Exact time of arrival;T.o.A. in video file;Total duration of visit (sec);Exact time of departure;;;T.o.D. in video file;Visitor species;JH/SD IDs;;Insect order ;Sex;;Number of visited flowers (M | F);;Flower number;Resting/walking;Duration (sec);Flying;Duration (sec);Feeding on pollen;Duration (sec);Feeding on nectar ;Duration (sec);Unsuccessful nectardrinking attempts;Duration (sec);Feeding on floral parts;Duration (sec);Comment (visitor behaviour);Primary Robbing;Secondary robbing;;Contact with anthers;# flowers with anthers contacted;Contact with stigma;# flowers with stigmas contacted
2021;Nov;10;18;23;00 03;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:23:03;23:03;04;18;23;07;23:07;unknown;Basiothia medea;;Lepidoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;24;00 07;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:24:07;24:07;02;18;24;09;24:09;unknown;Hippotion celerio;;Lepidoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;25;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;26;00 38;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:26:38;26:38;09;18;26;47;26:47;unknown;unidentified;;Unknown;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;27;00 13;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:27:13;27:13;04;18;27;17;27:17;butterfly;Noctuidae sp.07;;Lepidoptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;28;00 31;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:28:31;28:31;10;18;28;41;28:41;butterfly;Noctuidae sp.30;;Lepidoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;29;00 49;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:29:49;29:49;04;18;29;53;29:53;;Agrius convolvuli;;Lepidoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;30;00 26;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:30:26;30:26;05;18;30;31;30:31;unknown;Hippotion celerio;;Lepidoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;30;00 41;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:30:41;30:41;32;18;31;13;31:13;butterfly;Noctuidae sp.14;;Lepidoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;30;00 56;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:30:56;30:56;03;18;30;59;30:59;mosquito;Nematocera;;Diptera;NA;;1;;;;;;;;;;;;;;;;;;;0;;0;
2021;Nov;10;18;31;;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;;;#VALUE!;#VALUE!;;;;#VALUE!;;;;#N/A;#N/A;#VALUE!;;;;;;;;;;;;;;;;;;;;;;;
2021;Nov;10;18;32;00 39;;Hyprev4_20211110_18_00;1;Hypericum;revolutum;4;4;0;;1;18:32:39;32:39;18;18;32;57;32:57;butterfly;Noctuidae sp.07;;Lepidoptera;NA;;2;;;;;;;;;;;;;;;;;;;0;;0;
